codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
27372;2539,9;Sòl net totalment urbanitzat;FALSO;VERDADERO;8089;GAVÀ;les Bòbiles;;415961,5167;4572871,361;2539,9
27007;7718,24;Sòl inactiu;FALSO;VERDADERO;8113;MANRESA;Torre de Santa Caterina;SNU;401851,9486;4618285,871;7718,24
178;12018,87;Sòl inactiu;FALSO;VERDADERO;25207;SOLSONA;Partida de Santa Llúcia;SNU;379140,2419;4649175,737;12018,87
4955;36015;Sòl inactiu;FALSO;VERDADERO;8156;PALAU-SOLITÀ I PLEGAMANS;Gallecs;SNU;431964,3801;4602454,887;36015
24098;658;Sòl edificat;FALSO;VERDADERO;8014;AIGUAFREDA;Naus industrials a Aiguafreda (Can Llaudet);SUC;437441,5937;4625508,796;658
23793;184;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;el Barri de l'Estació;SNU;408388,7891;4630077,164;184
12048;2795,71;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SUD;344918,4111;4614623,854;2795,71
21479;8247,32;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SNU;345210,1105;4614607,993;8247,32
26853;16773,63;Sòl inactiu;FALSO;VERDADERO;17002;AIGUAVIVA;Nou sector industrial (entorn aeroport);SNU;481426,2105;4639215,922;16773,63
27551;780,39;Sòl inactiu;FALSO;VERDADERO;43067;GINESTAR;Camí de l'embarcador;;301166,4328;4546389,718;780,39
23451;898;Sòl net totalment urbanitzat;FALSO;VERDADERO;8187;SABADELL;Can Llong;SUD;423505,9747;4601673,03;898
27387;74904,89;Sòl inactiu;FALSO;VERDADERO;43057;FEBRÓ,LA;Mas d'en Blai (Castillejos);SNU;331402,7069;4569351,055;74904,89
22164;7716,8;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Prat;SNU;345500,8375;4613191,848;7716,8
25389;2815,68;Sòl edificat;FALSO;VERDADERO;8298;VIC;cra. N-152;SUC;437292,1417;4642225,771;2815,68
27330;57808,92;Sòl inactiu;FALSO;VERDADERO;8205;SANT CUGAT DEL VALLÈS;Can Graells;SNU;421789,6438;4595423,692;57808,92
26613;7794,47;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;360655,6633;4574158,942;7794,47
23195;3055,61;Sòl edificat;FALSO;VERDADERO;17167;SANT JOAN DE LES ABADESSES;Colònia Llaudet;SNC;442660,1545;4676824,056;3055,61
24863;340;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;el Carmel 3;SUC;429292,8017;4586189,186;340
22168;80067,84;Sòl inactiu;FALSO;VERDADERO;8125;MONTCADA I REIXAC;Martinet;SNU;430981,7983;4594737,775;80067,84
274;591;Sòl inactiu;FALSO;VERDADERO;8056;CASTELLDEFELS;Campus Universitari;SNU;414779,5903;4569984,517;591
27174;2259,32;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;361059,2405;4573769,69;2259,32
